Height in cm,,8,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
,122,0.77,0.89,1.18,1.32,1.23,1.14,1.05,0.95,0.84,0.73,0.62,0.5,0.37,0.24,0.11,0.03
,130,0.94,1.05,1.34,1.48,1.4,1.31,1.21,1.11,1,0.89,0.78,0.66,0.53,0.4,0.27,0.13
,137,1.11,1.23,1.52,1.66,1.57,1.48,1.38,1.28,1.18,1.07,0.95,0.83,0.71,0.58,0.44,0.3
,145,1.29,1.41,1.7,1.84,1.75,1.66,1.57,1.47,1.36,1.25,1.14,1.02,0.89,0.76,0.63,0.49
,152,1.49,1.6,1.89,2.03,1.95,1.86,1.76,1.66,1.56,1.45,1.33,1.21,1.09,0.96,0.82,0.68
,160,1.69,1.81,2.1,2.24,2.15,2.06,1.96,1.86,1.76,1.65,1.53,1.41,1.29,1.16,1.02,0.89
,168,1.9,2.02,2.31,2.45,2.36,2.27,2.18,2.08,1.97,1.86,1.75,1.63,1.5,1.37,1.24,1.1
,175,2.13,2.24,2.53,2.67,2.59,2.5,2.4,2.3,2.2,2.09,1.97,1.85,1.73,1.6,1.46,1.32
,183,2.36,2.48,2.77,2.91,2.82,2.73,2.63,2.53,2.43,2.32,2.2,2.08,1.96,1.83,1.69,1.56
,191,2.6,2.72,3.01,3.15,3.06,2.97,2.88,2.78,2.67,2.56,2.45,2.33,2.2,2.07,1.94,1.8
,198,2.86,2.97,3.26,3.4,3.32,3.23,3.13,3.03,2.93,2.82,2.7,2.58,2.46,2.33,2.19,2.05
,206,3.12,3.24,3.53,3.67,3.58,3.49,3.39,3.29,3.19,3.08,2.96,2.84,2.72,2.59,2.45,2.32
,,,,,,,,,,,,,,,,,
