Height in cm,,8,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
,114,0.86,0.98,1.27,1.46,1.47,1.46,1.42,1.37,1.31,1.22,1.11,0.98,0.84,0.68,0.49,0.29
,122,1.08,1.2,1.49,1.68,1.69,1.67,1.64,1.59,1.53,1.44,1.33,1.2,1.06,0.89,0.71,0.51
,130,1.31,1.43,1.73,1.91,1.92,1.91,1.88,1.83,1.76,1.67,1.56,1.44,1.29,1.13,0.94,0.74
,137,1.56,1.68,1.97,2.16,2.17,2.16,2.13,2.08,2.01,1.92,1.81,1.69,1.54,1.38,1.19,0.99
,145,1.82,1.94,2.24,2.42,2.43,2.42,2.39,2.34,2.27,2.18,2.07,1.95,1.8,1.64,1.46,1.25
,152,2.1,2.22,2.51,2.7,2.71,2.69,2.66,2.61,2.55,2.46,2.35,2.22,2.08,1.91,1.73,1.53
,160,2.39,2.51,2.8,2.99,3,2.99,2.95,2.9,2.84,2.75,2.64,2.51,2.37,2.21,2.02,1.82
,168,2.69,2.81,3.11,3.29,3.3,3.29,3.26,3.21,3.14,3.05,2.95,2.82,2.67,2.51,2.33,2.12
,175,3.01,3.13,3.43,3.61,3.62,3.61,3.58,3.53,3.46,3.37,3.26,3.14,2.99,2.83,2.65,2.44
,183,3.35,3.46,3.76,3.95,3.95,3.94,3.91,3.86,3.79,3.7,3.6,3.47,3.33,3.16,2.98,2.78
,191,3.69,3.81,4.11,4.29,4.3,4.29,4.26,4.21,4.14,4.05,3.94,3.82,3.67,3.51,3.33,3.12
,198,4.05,4.17,4.47,4.65,4.66,4.65,4.62,4.57,4.5,4.41,4.31,4.18,4.03,3.87,3.69,3.48
,206,4.43,4.55,4.84,5.03,5.04,5.03,4.99,4.94,4.88,4.79,4.68,4.55,4.41,4.25,4.06,3.86
