Height in cm,,8,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
,122,1.65,1.78,2.61,4.17,4.23,4.23,4.17,4.05,3.87,3.63,3.33,2.97,2.56,2.08,1.54,0.94
,130,2.06,2.19,3.03,4.58,4.64,4.64,4.58,4.47,4.29,4.05,3.75,3.39,2.97,2.5,1.96,1.36
,137,2.51,2.64,3.47,5.03,5.09,5.09,5.03,4.91,4.73,4.49,4.19,3.83,3.42,2.94,2.4,1.8
,145,2.98,3.11,3.94,5.49,5.55,5.56,5.5,5.38,5.2,4.96,4.66,4.3,3.88,3.41,2.87,2.27
,152,3.47,3.6,4.43,5.99,6.05,6.05,5.99,5.87,5.69,5.45,5.15,4.8,4.38,3.9,3.36,2.77
,160,3.99,4.12,4.95,6.51,6.57,6.57,6.51,6.39,6.21,5.97,5.67,5.32,4.9,4.42,3.88,3.29
,168,4.53,4.66,5.49,7.05,7.11,7.11,7.05,6.93,6.75,6.52,6.22,5.86,5.44,4.96,4.43,3.83
,175,5.1,5.23,6.06,7.62,7.68,7.68,7.62,7.5,7.32,7.09,6.79,6.43,6.01,5.53,5,4.4
,183,5.7,5.83,6.66,8.22,8.28,8.28,8.22,8.1,7.92,7.68,7.38,7.02,6.61,6.13,5.59,4.99
,191,6.32,6.45,7.28,8.84,8.9,8.9,8.84,8.72,8.54,8.3,8,7.64,7.23,6.75,6.21,5.61
,198,6.96,7.09,7.92,9.48,9.54,9.54,9.48,9.36,9.18,8.95,8.65,8.29,7.87,7.39,6.86,6.26
,206,7.63,7.76,8.6,10.15,10.21,10.21,10.15,10.03,9.86,9.62,9.32,8.96,8.54,8.07,7.53,6.93
,,,,,,,,,,,,,,,,,
