Height in cm,,8,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
,122,0.69,0.73,0.99,1.45,1.34,1.22,1.11,0.99,0.88,0.76,0.65,0.53,0.42,0.3,0.18,0.07
,130,0.89,0.93,1.19,1.66,1.54,1.43,1.31,1.2,1.08,0.97,0.85,0.73,0.62,0.5,0.39,0.27
,137,1.11,1.15,1.4,1.87,1.76,1.64,1.53,1.41,1.3,1.18,1.07,0.95,0.83,0.72,0.6,0.49
,145,1.34,1.38,1.63,2.1,1.99,1.87,1.75,1.64,1.52,1.41,1.29,1.18,1.06,0.95,0.83,0.72
,152,1.58,1.62,1.87,2.34,2.23,2.11,1.99,1.88,1.76,1.65,1.53,1.42,1.3,1.19,1.07,0.96
,160,1.83,1.87,2.12,2.59,2.48,2.36,2.25,2.13,2.02,1.9,1.79,1.67,1.55,1.44,1.32,1.21
,168,2.09,2.13,2.39,2.86,2.74,2.63,2.51,2.4,2.28,2.17,2.05,1.93,1.82,1.7,1.59,1.47
,175,2.37,2.41,2.67,3.14,3.02,2.9,2.79,2.67,2.56,2.44,2.33,2.21,2.1,1.98,1.87,1.75
,183,2.66,2.7,2.95,3.42,3.31,3.19,3.08,2.96,2.85,2.73,2.62,2.5,2.39,2.27,2.15,2.04
,191,2.96,3,3.26,3.73,3.61,3.5,3.38,3.26,3.15,3.03,2.92,2.8,2.69,2.57,2.46,2.34
,198,3.28,3.32,3.57,4.04,3.92,3.81,3.69,3.58,3.46,3.35,3.23,3.12,3,2.89,2.77,2.65
,206,3.6,3.64,3.9,4.37,4.25,4.14,4.02,3.9,3.79,3.67,3.56,3.44,3.33,3.21,3.1,2.98
,,,,,,,,,,,,,,,,,
