Height in cm,,8,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
,122,0.79,0.76,0.95,1.52,1.43,1.34,1.25,1.16,1.07,0.97,0.88,0.79,0.7,0.61,0.52,0.43
,130,1.05,1.02,1.21,1.78,1.69,1.6,1.51,1.42,1.33,1.24,1.15,1.05,0.96,0.87,0.78,0.69
,137,1.33,1.3,1.49,2.06,1.97,1.88,1.79,1.7,1.61,1.52,1.42,1.33,1.24,1.15,1.06,0.97
,145,1.63,1.59,1.78,2.36,2.26,2.17,2.08,1.99,1.9,1.81,1.72,1.63,1.54,1.45,1.35,1.26
,152,1.94,1.91,2.09,2.67,2.57,2.48,2.39,2.3,2.21,2.12,2.03,1.94,1.85,1.76,1.66,1.57
,160,2.26,2.23,2.42,2.99,2.9,2.81,2.72,2.63,2.54,2.45,2.35,2.26,2.17,2.08,1.99,1.9
,168,2.61,2.57,2.76,3.33,3.24,3.15,3.06,2.97,2.88,2.79,2.7,2.61,2.51,2.42,2.33,2.24
,175,2.96,2.93,3.12,3.69,3.6,3.51,3.42,3.33,3.24,3.15,3.05,2.96,2.87,2.78,2.69,2.6
,183,3.34,3.31,3.49,4.07,3.98,3.88,3.79,3.7,3.61,3.52,3.43,3.34,3.25,3.16,3.06,2.97
,191,3.73,3.7,3.88,4.46,4.36,4.27,4.18,4.09,4,3.91,3.82,3.73,3.64,3.55,3.45,3.36
,198,4.13,4.1,4.29,4.86,4.77,4.68,4.59,4.5,4.41,4.32,4.22,4.13,4.04,3.95,3.86,3.77
,206,4.56,4.52,4.71,5.28,5.19,5.1,5.01,4.92,4.83,4.74,4.65,4.55,4.46,4.37,4.28,4.19
,,,,,,,,,,,,,,,,,
