Height in cm,,8,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
,122,0.94,1.02,1.37,1.95,1.84,1.73,1.61,1.48,1.34,1.2,1.04,0.88,0.7,0.52,0.33,0.13
,130,1.16,1.24,1.59,2.17,2.07,1.95,1.83,1.7,1.57,1.42,1.26,1.1,0.93,0.75,0.56,0.36
,137,1.4,1.47,1.83,2.41,2.3,2.19,2.07,1.94,1.8,1.65,1.5,1.33,1.16,0.98,0.79,0.59
,145,1.64,1.72,2.08,2.66,2.55,2.44,2.32,2.19,2.05,1.9,1.75,1.58,1.41,1.23,1.04,0.84
,152,1.91,1.99,2.34,2.92,2.81,2.7,2.58,2.45,2.31,2.17,2.01,1.85,1.67,1.49,1.3,1.1
,160,2.18,2.26,2.62,3.19,3.09,2.98,2.86,2.73,2.59,2.44,2.29,2.12,1.95,1.77,1.58,1.38
,168,2.47,2.55,2.91,3.48,3.38,3.27,3.15,3.02,2.88,2.73,2.58,2.41,2.24,2.06,1.87,1.67
,175,2.78,2.85,3.21,3.79,3.68,3.57,3.45,3.32,3.18,3.04,2.88,2.72,2.54,2.36,2.17,1.97
,183,3.09,3.17,3.53,4.1,4,3.89,3.77,3.64,3.5,3.35,3.2,3.03,2.86,2.68,2.49,2.29
,191,3.42,3.5,3.86,4.43,4.33,4.22,4.1,3.97,3.83,3.68,3.53,3.36,3.19,3.01,2.82,2.62
,198,3.77,3.84,4.2,4.78,4.67,4.56,4.44,4.31,4.17,4.03,3.87,3.71,3.53,3.35,3.16,2.96
,206,4.12,4.2,4.56,5.13,5.03,4.92,4.8,4.67,4.53,4.38,4.23,4.06,3.89,3.71,3.52,3.32
,,,,,,,,,,,,,,,,,
