Height in cm,,8,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
,122,1.09,1.05,1.29,2.05,1.99,1.92,1.83,1.74,1.62,1.5,1.36,1.21,1.05,0.87,0.68,0.47
,130,1.39,1.35,1.59,2.35,2.29,2.22,2.13,2.04,1.93,1.8,1.66,1.51,1.35,1.17,0.98,0.77
,137,1.71,1.67,1.91,2.67,2.61,2.54,2.45,2.36,2.24,2.12,1.98,1.83,1.67,1.49,1.3,1.09
,145,2.05,2,2.25,3,2.95,2.87,2.79,2.69,2.58,2.46,2.32,2.17,2,1.82,1.63,1.43
,152,2.4,2.36,2.61,3.36,3.3,3.23,3.15,3.05,2.94,2.81,2.67,2.52,2.36,2.18,1.99,1.78
,160,2.78,2.73,2.98,3.73,3.67,3.6,3.52,3.42,3.31,3.19,3.05,2.9,2.73,2.55,2.36,2.16
,168,3.17,3.13,3.37,4.12,4.07,4,3.91,3.81,3.7,3.58,3.44,3.29,3.12,2.95,2.75,2.55
,175,3.58,3.54,3.78,4.53,4.48,4.41,4.32,4.22,4.11,3.99,3.85,3.7,3.53,3.36,3.16,2.96
,183,4.01,3.96,4.21,4.96,4.91,4.83,4.75,4.65,4.54,4.42,4.28,4.13,3.96,3.78,3.59,3.39
,191,4.45,4.41,4.66,5.41,5.35,5.28,5.2,5.1,4.99,4.86,4.73,4.57,4.41,4.23,4.04,3.83
,198,4.92,4.88,5.12,5.87,5.82,5.75,5.66,5.56,5.45,5.33,5.19,5.04,4.87,4.7,4.5,4.3
,206,5.4,5.36,5.6,6.36,6.3,6.23,6.15,6.05,5.94,5.81,5.67,5.52,5.36,5.18,4.99,4.78
,,,,,,,,,,,,,,,,,
