Height in cm,,8,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
,122,1,1.07,1.39,1.93,1.79,1.64,1.49,1.35,1.2,1.05,0.91,0.76,0.62,0.47,0.32,0.18
,130,1.24,1.31,1.64,2.18,2.03,1.88,1.74,1.59,1.44,1.3,1.15,1,0.86,0.71,0.57,0.42
,137,1.5,1.57,1.9,2.43,2.29,2.14,2,1.85,1.7,1.56,1.41,1.26,1.12,0.97,0.82,0.68
,145,1.78,1.84,2.17,2.71,2.56,2.41,2.27,2.12,1.98,1.83,1.68,1.54,1.39,1.24,1.1,0.95
,152,2.06,2.13,2.46,2.99,2.85,2.7,2.56,2.41,2.26,2.12,1.97,1.82,1.68,1.53,1.38,1.24
,160,2.36,2.43,2.76,3.3,3.15,3,2.86,2.71,2.57,2.42,2.27,2.13,1.98,1.83,1.69,1.54
,168,2.68,2.75,3.08,3.61,3.47,3.32,3.17,3.03,2.88,2.74,2.59,2.44,2.3,2.15,2,1.86
,175,3.01,3.08,3.41,3.95,3.8,3.65,3.51,3.36,3.21,3.07,2.92,2.77,2.63,2.48,2.34,2.19
,183,3.36,3.43,3.75,4.29,4.15,4,3.85,3.71,3.56,3.41,3.27,3.12,2.97,2.83,2.68,2.54
,191,3.72,3.79,4.12,4.65,4.51,4.36,4.21,4.07,3.92,3.78,3.63,3.48,3.34,3.19,3.04,2.9
,198,4.1,4.17,4.49,5.03,4.88,4.74,4.59,4.44,4.3,4.15,4.01,3.86,3.71,3.57,3.42,3.27
,206,4.49,4.56,4.88,5.42,5.27,5.13,4.98,4.84,4.69,4.54,4.4,4.25,4.1,3.96,3.81,3.66
,,,,,,,,,,,,,,,,,
