Height in cm,,8,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80
,122,1.12,1.17,1.52,2.2,2.12,2.02,1.92,1.8,1.68,1.55,1.41,1.26,1.1,0.94,0.76,0.57
,130,1.41,1.45,1.8,2.49,2.4,2.31,2.2,2.09,1.97,1.84,1.7,1.55,1.39,1.22,1.05,0.86
,137,1.71,1.76,2.11,2.79,2.7,2.61,2.51,2.39,2.27,2.14,2,1.85,1.69,1.53,1.35,1.16
,145,2.03,2.08,2.43,3.11,3.02,2.93,2.83,2.71,2.59,2.46,2.32,2.17,2.01,1.85,1.67,1.48
,152,2.37,2.41,2.76,3.45,3.36,3.27,3.16,3.05,2.93,2.8,2.66,2.51,2.35,2.18,2.01,1.82
,160,2.72,2.77,3.12,3.8,3.72,3.62,3.52,3.41,3.28,3.15,3.01,2.86,2.7,2.54,2.36,2.18
,168,3.09,3.14,3.49,4.17,4.09,3.99,3.89,3.78,3.66,3.52,3.38,3.24,3.08,2.91,2.73,2.55
,175,3.48,3.53,3.88,4.56,4.48,4.38,4.28,4.17,4.04,3.91,3.77,3.62,3.47,3.3,3.12,2.94
,183,3.89,3.94,4.29,4.97,4.88,4.79,4.69,4.57,4.45,4.32,4.18,4.03,3.87,3.71,3.53,3.34
,191,4.31,4.36,4.71,5.39,5.31,5.21,5.11,5,4.88,4.74,4.6,4.46,4.3,4.13,3.95,3.77
,198,4.75,4.8,5.15,5.84,5.75,5.65,5.55,5.44,5.32,5.19,5.05,4.9,4.74,4.57,4.39,4.21
,206,5.21,5.26,5.61,6.29,6.21,6.11,6.01,5.9,5.78,5.64,5.5,5.35,5.2,5.03,4.85,4.67
,,,,,,,,,,,,,,,,,
